run_id,mean,median,std,min,max,p10,p90,p99,count,probe,model_tag,quant,ctx,npredict,decoding,temp,repeat_idx
20251112T183325Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,16558.528,16442.0,1005.7267183670516,15638,31178,16412.0,16472.0,21917.6,1500,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,1
20251112T191839Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n16-g-seed42-r001,16364.568,16044.0,3473.8354780648096,15128,126360,15860.0,16656.2,19708.64,1500,cache,tinyllama_1p1b,q4_0,128,16,greedy,0.0,1
20251112T191842Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n16-g-seed42-r002,17568.422666666665,16258.0,5190.738999628191,15322,74586,16050.0,17030.2,39935.659999999996,1500,cache,tinyllama_1p1b,q4_0,128,16,greedy,0.0,2
20251112T191844Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n16-g-seed42-r003,16659.310666666668,16619.0,900.5366346276126,15812,30736,16063.8,17060.2,17450.02,1500,cache,tinyllama_1p1b,q4_0,128,16,greedy,0.0,3
20251112T191846Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c128-n16-g-seed42-r001,6317.7626666666665,6292.0,572.589601932352,5860,18458,6116.0,6444.0,6626.02,1500,tlb,tinyllama_1p1b,q4_0,128,16,greedy,0.0,1
20251112T191849Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c128-n16-g-seed42-r002,6280.053333333333,6230.0,587.5657927949836,5728,18206,6048.0,6480.200000000001,6866.2,1500,tlb,tinyllama_1p1b,q4_0,128,16,greedy,0.0,2
20251112T191851Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c128-n16-g-seed42-r003,6310.366666666667,6302.0,365.4426125822625,5878,16586,6120.0,6456.0,6644.04,1500,tlb,tinyllama_1p1b,q4_0,128,16,greedy,0.0,3
20251112T191854Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n64-g-seed42-r001,16984.038666666667,16856.0,1182.4294304849413,16510,40124,16718.0,17074.2,20140.219999999976,1500,cache,tinyllama_1p1b,q4_0,128,64,greedy,0.0,1
20251112T191856Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n64-g-seed42-r002,16968.673333333332,16866.0,765.3485176862705,16576,27348,16760.0,17102.0,17786.879999999997,1500,cache,tinyllama_1p1b,q4_0,128,64,greedy,0.0,2
20251112T191859Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n64-g-seed42-r003,17026.136,16822.0,2241.5052249071805,15566,76298,16635.8,17044.4,25869.059999999998,1500,cache,tinyllama_1p1b,q4_0,128,64,greedy,0.0,3
20251112T191901Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c128-n64-g-seed42-r001,6249.949333333333,6206.0,556.7910514273035,5768,18150,6036.0,6400.0,6722.0,1500,tlb,tinyllama_1p1b,q4_0,128,64,greedy,0.0,1
20251112T191903Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c128-n64-g-seed42-r002,6281.165333333333,6260.0,365.1268205180182,5712,17042,6068.0,6438.0,6758.02,1500,tlb,tinyllama_1p1b,q4_0,128,64,greedy,0.0,2
20251112T191906Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c128-n64-g-seed42-r003,6257.810666666666,6160.0,652.3075242734092,5304,21758,5894.0,6614.200000000001,7656.08,1500,tlb,tinyllama_1p1b,q4_0,128,64,greedy,0.0,3
20251112T191908Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n256-g-seed42-r001,16981.153333333332,16550.0,3575.6131000407486,14308,64910,15930.0,17356.2,30139.26,1500,cache,tinyllama_1p1b,q4_0,128,256,greedy,0.0,1
20251112T191911Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n256-g-seed42-r002,16554.590666666667,16446.0,1103.4215573395743,16330,48368,16414.0,16482.2,19435.119999999988,1500,cache,tinyllama_1p1b,q4_0,128,256,greedy,0.0,2
20251112T191913Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n256-g-seed42-r003,16762.72266666667,16355.0,3557.015710338554,14600,70884,15621.6,17458.2,29360.139999999992,1500,cache,tinyllama_1p1b,q4_0,128,256,greedy,0.0,3
