run_id,timestamp_utc,path,host,victim_cpu,attacker_cpu,probe,model_tag,quant,ctx,npredict,decoding,temp,seed,repeat_idx,prompt_label,prompt_hash
20251125T005513Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r001,2025-11-25T00:55:13Z,logs/runs/20251125T005513Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r001,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,16,greedy,0.0,42,1,custom,
20251125T005513Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r002,2025-11-25T00:55:13Z,logs/runs/20251125T005513Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r002,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,16,greedy,0.0,42,2,custom,
20251125T005514Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r003,2025-11-25T00:55:14Z,logs/runs/20251125T005514Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r003,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,16,greedy,0.0,42,3,custom,
20251125T005514Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,2025-11-25T00:55:14Z,logs/runs/20251125T005514Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,42,1,custom,
20251125T005515Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r002,2025-11-25T00:55:15Z,logs/runs/20251125T005515Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r002,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,42,2,custom,
20251125T005515Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r003,2025-11-25T00:55:15Z,logs/runs/20251125T005515Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r003,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,42,3,custom,
20251125T005515Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r001,2025-11-25T00:55:15Z,logs/runs/20251125T005515Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r001,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,256,greedy,0.0,42,1,custom,
20251125T005516Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r002,2025-11-25T00:55:16Z,logs/runs/20251125T005516Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r002,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,256,greedy,0.0,42,2,custom,
20251125T005516Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r003,2025-11-25T00:55:16Z,logs/runs/20251125T005516Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r003,artemisia,0,56,cache,tinyllama_1p1b,q4_0,512,256,greedy,0.0,42,3,custom,
20251125T005853Z-artemisia-v0a56-pht--q4_0-c512-n64-s-seed42-r001,2025-11-25T00:58:53Z,logs/runs/20251125T005853Z-artemisia-v0a56-pht--q4_0-c512-n64-s-seed42-r001,artemisia,0,56,pht,,q4_0,512,64,sample,0.0,42,1,custom,
