ts_ns,probe,iter,cycles
71738120068891,tlb,0,5632
71738120100063,tlb,1,8754
71738120105185,tlb,2,8454
71738120109281,tlb,3,6874
71738120113992,tlb,4,8190
71738120118432,tlb,5,7710
71738120122544,tlb,6,6982
71738120126906,tlb,7,7506
71738120130842,tlb,8,6772
71738120135176,tlb,9,7432
71738120139331,tlb,10,7366
71738120143358,tlb,11,6830
71738120147640,tlb,12,7380
71738120151958,tlb,13,7358
71738120155846,tlb,14,6506
71738120160076,tlb,15,7306
71738120164160,tlb,16,6972
71738120167946,tlb,17,6354
71738120172054,tlb,18,7082
71738120176221,tlb,19,7102
71738120180101,tlb,20,6658
71738120184412,tlb,21,7524
71738120188682,tlb,22,7362
71738120192589,tlb,23,6712
71738120196764,tlb,24,7096
71738120200653,tlb,25,6714
71738120204698,tlb,26,6878
71738120208931,tlb,27,7276
71738120212645,tlb,28,6328
71738120216649,tlb,29,6922
71738120220755,tlb,30,7076
71738120224466,tlb,31,6236
71738120228501,tlb,32,6964
71738120232414,tlb,33,6752
71738120236006,tlb,34,6150
71738120240110,tlb,35,7028
71738120244243,tlb,36,7126
71738120247980,tlb,37,6234
71738120252006,tlb,38,7012
71738120255811,tlb,39,6548
71738120259906,tlb,40,6896
71738120263937,tlb,41,6754
71738120267735,tlb,42,6440
71738120271671,tlb,43,6722
71738120275742,tlb,44,6970
71738120279601,tlb,45,6484
71738120283698,tlb,46,6972
71738120287613,tlb,47,7010
71738120291392,tlb,48,6358
71738120295368,tlb,49,6754
71738120299482,tlb,50,6958
71738120303284,tlb,51,6402
71738120307429,tlb,52,7140
71738120311389,tlb,53,6650
71738120315271,tlb,54,6608
71738120319365,tlb,55,6902
71738120323385,tlb,56,6858
71738120327253,tlb,57,6564
71738120331254,tlb,58,6868
71738120335100,tlb,59,6422
71738120339086,tlb,60,6754
71738120343108,tlb,61,6898
71738120347038,tlb,62,6656
71738120350902,tlb,63,6586
71738120354890,tlb,64,6872
71738120358515,tlb,65,6152
71738120362466,tlb,66,6810
71738120366226,tlb,67,6488
71738120370013,tlb,68,6414
71738120373998,tlb,69,6922
71738120377977,tlb,70,6878
71738120381768,tlb,71,6428
71738120385791,tlb,72,6944
71738120389532,tlb,73,6292
71738120393315,tlb,74,6484
71738120397408,tlb,75,7110
71738120400973,tlb,76,6450
71738120404839,tlb,77,6892
71738120408929,tlb,78,7260
71738120412450,tlb,79,6372
71738120416176,tlb,80,6542
71738120419671,tlb,81,6152
71738120423196,tlb,82,6208
71738120426833,tlb,83,6538
71738120430739,tlb,84,7152
71738120434332,tlb,85,6368
71738120438143,tlb,86,6898
71738120441931,tlb,87,6876
71738120445476,tlb,88,6314
71738120449017,tlb,89,6432
71738120452525,tlb,90,6246
71738120456005,tlb,91,6228
71738120459563,tlb,92,6436
71738120463053,tlb,93,6446
71738120466483,tlb,94,6186
71738120470172,tlb,95,6570
71738120473664,tlb,96,6172
71738120477291,tlb,97,6648
71738120480866,tlb,98,6358
71738120484164,tlb,99,5854
71738120487716,tlb,100,6366
71738120494337,tlb,101,6644
71738120497870,tlb,102,6034
71738120502073,tlb,103,7294
71738120505757,tlb,104,6384
71738120509399,tlb,105,6340
71738120512980,tlb,106,6362
71738120516542,tlb,107,6268
71738120519939,tlb,108,6180
71738120523578,tlb,109,6550
71738120526994,tlb,110,6038
71738120530994,tlb,111,7158
71738120534927,tlb,112,6652
71738120538736,tlb,113,6416
71738120542597,tlb,114,6498
71738120546342,tlb,115,6450
71738120549986,tlb,116,6348
71738120554028,tlb,117,6914
71738120557805,tlb,118,6300
71738120561535,tlb,119,6318
71738120565543,tlb,120,6986
