ts_ns,probe,iter,cycles
71776388301933,cache,0,141072
71776388340711,cache,1,16892
71776388350174,cache,2,16860
71776388359185,cache,3,16828
71776388368154,cache,4,16732
71776388377130,cache,5,16798
71776388386031,cache,6,16762
71776388395067,cache,7,16884
71776388404257,cache,8,17076
71776388413346,cache,9,17000
71776388422434,cache,10,16936
71776388431612,cache,11,16890
71776388440675,cache,12,16794
71776388449704,cache,13,16808
71776388458732,cache,14,16770
71776388467750,cache,15,16760
71776388476853,cache,16,16922
71776388485771,cache,17,16698
71776388494741,cache,18,16828
71776388503821,cache,19,16824
71776388512839,cache,20,16812
71776388522003,cache,21,17042
71776388531057,cache,22,16854
71776388540097,cache,23,16884
71776388549186,cache,24,16938
71776388558477,cache,25,17332
71776388567480,cache,26,16774
71776388576546,cache,27,16988
71776388585539,cache,28,16728
71776388594554,cache,29,16798
71776388603549,cache,30,16728
71776388612597,cache,31,16846
71776388621623,cache,32,16840
71776388630666,cache,33,16812
71776388639758,cache,34,16860
71776388648836,cache,35,16854
71776388657892,cache,36,16868
71776388666997,cache,37,16914
71776388676101,cache,38,16938
71776388685095,cache,39,16772
71776388694038,cache,40,16686
71776388703109,cache,41,16894
71776388712023,cache,42,16654
71776388721095,cache,43,16826
71776388730103,cache,44,16778
71776388739179,cache,45,16790
71776388748136,cache,46,16808
71776388757128,cache,47,16720
71776388766199,cache,48,16888
71776388775309,cache,49,16936
71776388784389,cache,50,16916
71776388793779,cache,51,17492
71776388802894,cache,52,16954
71776388812040,cache,53,17078
71776388821014,cache,54,16758
71776388830084,cache,55,16898
71776388839099,cache,56,16800
71776388848175,cache,57,16924
71776388857175,cache,58,16764
71776388866183,cache,59,16752
71776388875210,cache,60,16856
71776388884422,cache,61,16890
71776388893665,cache,62,17174
71776388902649,cache,63,16794
71776388911650,cache,64,16766
71776388920699,cache,65,16824
71776388929797,cache,66,16920
71776388938807,cache,67,16800
71776388947755,cache,68,16748
71776388956770,cache,69,16876
71776388965739,cache,70,16690
71776388974750,cache,71,16764
71776388983807,cache,72,16856
71776388992857,cache,73,16808
71776389006849,cache,74,26602
71776389015904,cache,75,16868
71776389024992,cache,76,16854
71776389034093,cache,77,16922
71776389043105,cache,78,16904
71776389052135,cache,79,16838
71776389061170,cache,80,16804
71776389070216,cache,81,16840
71776389079210,cache,82,16790
71776389088161,cache,83,16658
71776389097133,cache,84,16754
71776389106174,cache,85,16930
71776389115158,cache,86,16810
71776389124331,cache,87,17094
71776389133380,cache,88,16872
71776389142796,cache,89,17534
71776389151900,cache,90,16956
71776389160996,cache,91,16932
71776389170111,cache,92,16940
71776389179085,cache,93,16854
71776389188106,cache,94,17052
71776389197202,cache,95,16980
71776389206272,cache,96,16836
71776389215382,cache,97,16900
71776389224512,cache,98,16920
71776389233517,cache,99,16810
71776389242601,cache,100,16950
71776389254957,cache,101,16956
71776389264016,cache,102,16878
71776389273148,cache,103,16962
71776389282182,cache,104,16820
71776389291245,cache,105,16872
71776389300270,cache,106,16772
71776389309276,cache,107,16792
71776389318294,cache,108,16840
71776389327420,cache,109,17010
71776389336431,cache,110,16802
71776389345477,cache,111,17000
71776389354469,cache,112,16766
71776389363570,cache,113,16936
71776389372717,cache,114,17040
71776389381777,cache,115,16886
71776389390868,cache,116,16848
71776389399904,cache,117,16794
71776389409059,cache,118,16966
71776389418049,cache,119,16784
71776389427087,cache,120,16822
71776389436158,cache,121,16872
71776389445177,cache,122,16802
71776389454305,cache,123,17054
71776389463455,cache,124,17034
71776389472495,cache,125,16822
71776389481520,cache,126,16772
71776389490739,cache,127,17158
71776389499840,cache,128,16940
71776389508878,cache,129,16754
71776389517897,cache,130,16822
71776389526968,cache,131,16920
71776389535963,cache,132,16802
71776389545263,cache,133,17386
71776389554300,cache,134,16840
71776389563382,cache,135,16900
71776389572325,cache,136,16674
71776389581474,cache,137,16970
71776389590565,cache,138,16912
71776389599603,cache,139,16846
71776389608435,cache,140,16842
71776389617551,cache,141,17034
71776389626607,cache,142,16860
71776389635660,cache,143,16836
71776389644717,cache,144,16908
71776389653766,cache,145,16842
71776389662778,cache,146,16820
71776389671813,cache,147,16828
71776389681037,cache,148,17160
71776389690071,cache,149,16810
71776389699097,cache,150,16786
71776389708153,cache,151,16810
71776389717138,cache,152,16854
71776389726358,cache,153,17200
71776389735424,cache,154,16844
71776389744628,cache,155,17122
71776389753888,cache,156,17254
71776389762945,cache,157,16842
71776389772155,cache,158,17136
71776389781283,cache,159,17088
71776389790260,cache,160,16810
71776389799270,cache,161,16794
71776389808228,cache,162,16646
71776389817507,cache,163,17188
71776389826530,cache,164,16792
71776389835568,cache,165,16764
71776389844674,cache,166,16928
71776389853872,cache,167,17174
71776389862952,cache,168,16848
71776389872048,cache,169,16904
71776389881120,cache,170,16880
71776389890348,cache,171,17240
71776389899511,cache,172,17046
71776389908509,cache,173,16786
71776389917556,cache,174,16824
71776389926534,cache,175,16724
71776389935616,cache,176,16836
71776389944632,cache,177,16774
71776389953666,cache,178,16850
71776389962824,cache,179,17132
71776389971919,cache,180,16902
71776389981060,cache,181,16980
71776389990149,cache,182,16924
71776389999166,cache,183,16938
71776390013921,cache,184,28040
71776390023197,cache,185,17272
71776390032114,cache,186,16760
71776390041159,cache,187,16832
71776390050113,cache,188,16782
71776390059189,cache,189,16816
71776390068232,cache,190,16826
71776390077277,cache,191,16806
71776390086467,cache,192,17122
71776390095626,cache,193,17058
71776390104708,cache,194,16854
71776390113742,cache,195,16866
71776390122812,cache,196,16910
71776390131737,cache,197,16730
71776390140804,cache,198,16904
71776390149826,cache,199,16764
71776390158769,cache,200,16750
71776390177280,cache,201,16960
71776390186444,cache,202,17028
71776390195395,cache,203,16796
