ts_ns,freq_khz
1762975174873984052,2000000
1762975174894276643,2000000
1762975174914405885,1999981
1762975174934595971,1991360
1762975174954692002,2000000
1762975174974782613,2000000
1762975174994912811,2000093
1762975175015109153,2000020
1762975175035208156,2000020
1762975175055302456,2000000
1762975175075431243,2000000
1762975175095534686,2000000
1762975175115619836,2000019
1762975175135678611,2000020
1762975175155757656,2000000
1762975175175837582,2000040
1762975175195917409,2000000
1762975175215998155,2000000
1762975175236108996,2000020
1762975175256262435,2000000
1762975175276353230,2000000
1762975175296440070,2006079
