ts_ns,probe,iter,cycles
71856563207479,btb,0,2666
71856563224137,btb,1,1696
71856563225588,btb,2,1674
71856563226695,btb,3,1514
71856563227807,btb,4,1666
71856563228824,btb,5,1506
71856563229855,btb,6,1556
71856563230889,btb,7,1548
71856563231912,btb,8,1534
71856563232982,btb,9,1636
71856563234000,btb,10,1528
71856563235025,btb,11,1424
71856563236101,btb,12,1674
71856563237082,btb,13,1476
71856563238160,btb,14,1682
71856563239222,btb,15,1622
71856563240205,btb,16,1454
71856563241253,btb,17,1602
71856563242320,btb,18,1636
71856563243376,btb,19,1624
71856563244355,btb,20,1476
71856563245361,btb,21,1542
71856563246366,btb,22,1528
71856563247429,btb,23,1632
71856563248516,btb,24,1680
71856563249574,btb,25,1618
71856563250643,btb,26,1644
71856563251700,btb,27,1642
71856563252710,btb,28,1548
71856563253777,btb,29,1668
71856563254839,btb,30,1646
71856563255945,btb,31,1720
71856563256961,btb,32,1530
71856563257984,btb,33,1596
71856563259017,btb,34,1612
71856563260044,btb,35,1604
71856563261058,btb,36,1572
71856563262084,btb,37,1600
71856563263000,btb,38,1380
71856563264006,btb,39,1562
71856563264921,btb,40,1376
71856563265922,btb,41,1554
71856563266935,btb,42,1570
71856563267945,btb,43,1570
71856563268869,btb,44,1394
71856563269878,btb,45,1566
71856563270796,btb,46,1380
71856563271804,btb,47,1564
71856563272824,btb,48,1580
71856563273830,btb,49,1554
71856563274847,btb,50,1578
71856563275864,btb,51,1578
71856563276883,btb,52,1584
71856563277817,btb,53,1412
71856563278761,btb,54,1430
71856563279686,btb,55,1394
71856563280677,btb,56,1530
71856563281598,btb,57,1382
71856563282543,btb,58,1436
71856563283561,btb,59,1590
71856563284478,btb,60,1380
71856563285442,btb,61,1474
71856563286460,btb,62,1578
71856563287487,btb,63,1604
71856563288405,btb,64,1380
71856563289413,btb,65,1560
71856563290330,btb,66,1378
71856563291273,btb,67,1432
71856563292288,btb,68,1574
71856563293217,btb,69,1382
71856563294225,btb,70,1568
71856563295146,btb,71,1390
