ts_ns,probe,iter,cycles
71858866280744,btb,0,2562
71858866297773,btb,1,1688
71858866299330,btb,2,1638
71858866300421,btb,3,1614
71858866301482,btb,4,1598
71858866302554,btb,5,1570
71858866303552,btb,6,1476
71858866304629,btb,7,1638
71858866305737,btb,8,1712
71858866306724,btb,9,1456
71858866307709,btb,10,1488
71858866308825,btb,11,1634
71858866309910,btb,12,1686
71858866310878,btb,13,1460
71858866311883,btb,14,1510
71858866312878,btb,15,1510
71858866313919,btb,16,1618
71858866314921,btb,17,1508
71858866315977,btb,18,1648
71858866316955,btb,19,1484
71858866317932,btb,20,1480
71858866318942,btb,21,1536
71858866319920,btb,22,1490
71858866320890,btb,23,1460
71858866321956,btb,24,1668
71858866322949,btb,25,1508
71858866323932,btb,26,1496
71858866324942,btb,27,1542
71858866325913,btb,28,1468
71858866326908,btb,29,1516
71858866327999,btb,30,1716
71858866328968,btb,31,1454
71858866329946,btb,32,1480
71858866330913,btb,33,1480
71858866331940,btb,34,1606
71858866332982,btb,35,1630
71858866333898,btb,36,1380
71858866334875,btb,37,1502
71858866335902,btb,38,1608
71858866336826,btb,39,1394
71858866337763,btb,40,1424
71858866338774,btb,41,1568
71858866339786,btb,42,1580
71858866340709,btb,43,1390
71858866341640,btb,44,1424
71858866342651,btb,45,1568
71858866343570,btb,46,1394
71858866344512,btb,47,1430
71858866345430,btb,48,1390
71858866346442,btb,49,1568
71858866347457,btb,50,1584
71858866348471,btb,51,1580
71858866349512,btb,52,1632
71858866350469,btb,53,1458
71858866351484,btb,54,1578
71858866352528,btb,55,1632
71858866353527,btb,56,1554
71858866354561,btb,57,1614
71858866355483,btb,58,1394
71858866356460,btb,59,1494
71858866357485,btb,60,1604
71858866358412,btb,61,1394
71858866359420,btb,62,1562
71858866360437,btb,63,1584
71858866361340,btb,64,1360
71858866362283,btb,65,1430
71858866363187,btb,66,1358
71858866364115,btb,67,1402
71858866365126,btb,68,1570
71858866366050,btb,69,1394
71858866367057,btb,70,1566
71858866367982,btb,71,1396
71858866368967,btb,72,1526
71858866369886,btb,73,1378
71858866370878,btb,74,1538
71858866371794,btb,75,1378
71858866372716,btb,76,1396
71858866373639,btb,77,1392
71858866374641,btb,78,1560
71858866375547,btb,79,1354
71858866376551,btb,80,1562
71858866377621,btb,81,1686
71858866378631,btb,82,1570
71858866379550,btb,83,1380
71858866380483,btb,84,1414
71858866381402,btb,85,1380
71858866382392,btb,86,1532
71858866383318,btb,87,1394
71858866384250,btb,88,1412
71858866385171,btb,89,1388
71858866386083,btb,90,1374
71858866387003,btb,91,1384
71858866387922,btb,92,1386
71858866388847,btb,93,1396
71858866389754,btb,94,1360
71858866390680,btb,95,1398
71858866391585,btb,96,1362
71858866392512,btb,97,1400
71858866393529,btb,98,1588
71858866394436,btb,99,1364
71858866395350,btb,100,1382
71858866398287,btb,101,1606
71858866399337,btb,102,1418
71858866400282,btb,103,1400
71858866401299,btb,104,1554
71858866402227,btb,105,1396
71858866403234,btb,106,1544
71858866404170,btb,107,1394
71858866405188,btb,108,1528
71858866406122,btb,109,1400
71858866407123,btb,110,1532
71858866408081,btb,111,1370
71858866409034,btb,112,1446
71858866410102,btb,113,1676
71858866411058,btb,114,1450
71858866411980,btb,115,1382
71858866412976,btb,116,1534
71858866413897,btb,117,1380
71858866414826,btb,118,1398
71858866415756,btb,119,1394
71858866416750,btb,120,1532
71858866417786,btb,121,1608
71858866418788,btb,122,1542
71858866419713,btb,123,1388
71858866420772,btb,124,1658
71858866421703,btb,125,1398
71858866422635,btb,126,1408
71858866423564,btb,127,1396
71858866424492,btb,128,1402
71858866425420,btb,129,1394
71858866426412,btb,130,1528
71858866427323,btb,131,1360
71858866428336,btb,132,1568
71858866429262,btb,133,1394
71858866430269,btb,134,1556
71858866431197,btb,135,1392
71858866432125,btb,136,1398
71858866433044,btb,137,1380
71858866434037,btb,138,1526
71858866434957,btb,139,1378
71858866435963,btb,140,1522
71858866436881,btb,141,1378
71858866437872,btb,142,1532
71858866438775,btb,143,1352
71858866439723,btb,144,1444
71858866440628,btb,145,1362
71858866441580,btb,146,1450
71858866442498,btb,147,1384
71858866443489,btb,148,1530
71858866444408,btb,149,1384
71858866445335,btb,150,1398
71858866446260,btb,151,1392
71858866447250,btb,152,1528
71858866448176,btb,153,1394
71858866449168,btb,154,1532
71858866450234,btb,155,1674
71858866451302,btb,156,1680
71858866452229,btb,157,1398
71858866453156,btb,158,1404
71858866454083,btb,159,1400
71858866455009,btb,160,1404
71858866455936,btb,161,1398
71858866456929,btb,162,1528
71858866457837,btb,163,1356
71858866458844,btb,164,1564
71858866459772,btb,165,1396
71858866460775,btb,166,1562
71858866461693,btb,167,1382
71858866462617,btb,168,1394
71858866463534,btb,169,1380
71858866464524,btb,170,1528
71858866465440,btb,171,1378
71858866466428,btb,172,1526
71858866467344,btb,173,1378
71858866468335,btb,174,1528
71858866469242,btb,175,1356
71858866470189,btb,176,1442
71858866471092,btb,177,1356
71858866472042,btb,178,1444
71858866472959,btb,179,1382
71858866473952,btb,180,1530
71858866474870,btb,181,1384
71858866475798,btb,182,1400
71858866476724,btb,183,1390
71858866477714,btb,184,1530
71858866478641,btb,185,1394
71858866479633,btb,186,1538
71858866480551,btb,187,1384
71858866481640,btb,188,1722
71858866482569,btb,189,1398
71858866483496,btb,190,1402
71858866484423,btb,191,1396
71858866485351,btb,192,1400
71858866486278,btb,193,1396
71858866487267,btb,194,1524
71858866488293,btb,195,1590
71858866489306,btb,196,1566
71858866490234,btb,197,1392
71858866491240,btb,198,1560
71858866492162,btb,199,1382
71858866493088,btb,200,1400
71858866501396,btb,201,1634
71858866502478,btb,202,1550
71858866503553,btb,203,1524
71858866504631,btb,204,1574
71858866505604,btb,205,1468
71858866506633,btb,206,1582
71858866507571,btb,207,1406
