ts_ns,probe,iter,cycles
71872754392328,pht,0,5924
71872754415206,pht,1,4394
71872754418200,pht,2,4182
71872754420799,pht,3,4180
71872754423274,pht,4,4178
71872754425773,pht,5,4238
71872754428194,pht,6,4108
71872754430648,pht,7,4160
71872754433446,pht,8,4782
71872754435973,pht,9,4254
71872754438596,pht,10,4494
71872754441146,pht,11,4188
71872754443591,pht,12,4004
71872754445846,pht,13,3662
71872754448533,pht,14,4530
71872754450883,pht,15,3860
71872754453344,pht,16,4148
71872754455851,pht,17,4190
71872754458215,pht,18,3948
71872754460660,pht,19,4116
71872754463021,pht,20,3952
71872754465478,pht,21,4120
71872754467860,pht,22,3976
71872754470269,pht,23,4042
71872754472812,pht,24,4314
71872754475215,pht,25,4030
71872754477538,pht,26,3866
71872754479980,pht,27,4114
71872754482370,pht,28,4034
71872754484909,pht,29,4296
71872754487358,pht,30,4060
71872754489733,pht,31,3908
71872754492102,pht,32,3954
71872754494440,pht,33,3886
71872754496811,pht,34,3934
71872754499196,pht,35,3970
71872754501592,pht,36,3990
71872754503960,pht,37,3994
71872754506237,pht,38,3746
71872754508593,pht,39,3968
71872754510996,pht,40,4038
71872754513419,pht,41,4096
71872754515845,pht,42,4064
71872754518342,pht,43,4210
71872754520662,pht,44,3888
71872754522941,pht,45,3812
71872754525424,pht,46,4158
71872754527718,pht,47,3764
71872754530126,pht,48,4014
71872754532498,pht,49,3942
71872754534856,pht,50,3902
71872754537212,pht,51,3914
71872754539597,pht,52,3968
71872754541924,pht,53,3894
71872754544299,pht,54,3952
71872754546623,pht,55,3876
71872754549113,pht,56,4230
71872754551454,pht,57,3942
71872754553781,pht,58,3910
71872754556184,pht,59,4052
71872754558553,pht,60,3968
71872754561027,pht,61,4100
71872754563429,pht,62,4064
71872754565726,pht,63,3842
71872754568006,pht,64,3820
71872754570323,pht,65,3856
71872754572624,pht,66,3864
71872754574978,pht,67,3890
71872754577359,pht,68,3922
71872754579729,pht,69,3910
71872754582062,pht,70,3854
71872754584489,pht,71,4010
71872754586833,pht,72,3866
71872754589242,pht,73,4032
71872754591580,pht,74,3910
71872754594036,pht,75,4102
71872754596442,pht,76,4004
71872754598713,pht,77,3774
71872754601010,pht,78,3792
71872754603341,pht,79,3846
71872754605699,pht,80,3900
71872754608024,pht,81,3810
71872754610337,pht,82,3876
71872754612704,pht,83,3922
71872754615087,pht,84,3968
71872754617467,pht,85,3958
71872754619805,pht,86,3872
71872754622180,pht,87,3948
71872754624534,pht,88,3928
71872754626907,pht,89,3966
71872754629200,pht,90,3846
71872754631495,pht,91,3830
71872754633872,pht,92,3996
71872754636272,pht,93,4054
71872754638646,pht,94,4000
71872754641003,pht,95,3972
71872754643299,pht,96,3832
71872754645612,pht,97,3822
71872754647945,pht,98,3920
71872754650307,pht,99,3914
71872754652589,pht,100,3762
71872754657539,pht,101,4028
71872754660034,pht,102,3858
71872754662473,pht,103,3908
71872754664808,pht,104,3750
71872754667091,pht,105,3750
71872754669394,pht,106,3820
71872754671731,pht,107,3878
71872754673968,pht,108,3714
71872754676277,pht,109,3836
71872754678604,pht,110,3908
71872754680879,pht,111,3774
71872754683203,pht,112,3898
71872754685437,pht,113,3716
71872754687731,pht,114,3820
71872754690051,pht,115,3866
71872754692383,pht,116,3912
71872754694736,pht,117,3940
71872754696956,pht,118,3624
71872754699291,pht,119,3878
71872754701594,pht,120,3828
71872754703926,pht,121,3892
71872754706309,pht,122,3974
71872754708674,pht,123,3940
71872754711011,pht,124,3860
71872754713347,pht,125,3850
71872754715625,pht,126,3784
71872754717953,pht,127,3898
71872754720386,pht,128,4058
71872754722681,pht,129,3842
71872754724980,pht,130,3828
71872754727252,pht,131,3786
71872754729524,pht,132,3782
71872754731783,pht,133,3768
71872754734040,pht,134,3762
71872754736331,pht,135,3794
71872754738558,pht,136,3612
71872754740857,pht,137,3760
71872754743160,pht,138,3818
71872754745470,pht,139,3820
71872754747800,pht,140,3860
71872754750137,pht,141,3898
71872754752405,pht,142,3710
71872754754644,pht,143,3730
71872754756933,pht,144,3806
71872754759154,pht,145,3674
71872754761468,pht,146,3866
71872754763798,pht,147,3890
71872754766113,pht,148,3872
71872754768444,pht,149,3896
71872754770801,pht,150,3948
71872754773147,pht,151,3894
71872754775454,pht,152,3844
71872754777723,pht,153,3784
71872754780032,pht,154,3840
71872754782323,pht,155,3748
71872754784684,pht,156,3868
71872754787047,pht,157,3938
71872754789366,pht,158,3848
71872754791699,pht,159,3852
71872754794162,pht,160,4132
71872754796488,pht,161,3878
71872754798757,pht,162,3760
71872754801031,pht,163,3784
71872754803283,pht,164,3742
71872754805539,pht,165,3732
71872754807833,pht,166,3828
71872754810142,pht,167,3866
71872754812444,pht,168,3832
71872754814727,pht,169,3808
71872754817048,pht,170,3870
71872754819373,pht,171,3882
71872754821655,pht,172,3764
71872754823930,pht,173,3686
71872754826182,pht,174,3700
71872754828522,pht,175,3860
71872754830864,pht,176,3918
71872754833181,pht,177,3874
71872754835468,pht,178,3826
71872754837795,pht,179,3888
71872754840135,pht,180,3888
71872754842455,pht,181,3892
71872754844826,pht,182,3982
71872754847156,pht,183,3838
71872754849507,pht,184,3860
71872754851815,pht,185,3792
71872754854199,pht,186,3956
71872754856586,pht,187,3922
71872754858928,pht,188,3862
71872754861349,pht,189,3932
71872754863791,pht,190,4130
71872754866128,pht,191,3926
71872754868445,pht,192,3838
71872754870799,pht,193,3868
71872754873113,pht,194,3824
71872754875458,pht,195,3908
71872754877796,pht,196,3894
71872754880184,pht,197,3990
71872754882531,pht,198,3894
71872754884782,pht,199,3758
71872754887069,pht,200,3806
71872754899419,pht,201,4258
71872754901922,pht,202,3940
71872754904313,pht,203,3828
71872754906770,pht,204,3944
71872754909102,pht,205,3782
71872754911420,pht,206,3754
71872754913822,pht,207,3980
71872754916125,pht,208,3814
71872754918383,pht,209,3732
71872754920672,pht,210,3804
71872754923025,pht,211,3954
71872754925400,pht,212,3938
71872754927686,pht,213,3812
71872754930045,pht,214,3948
71872754932401,pht,215,3950
71872754934708,pht,216,3784
71872754937112,pht,217,3968
71872754939449,pht,218,3842
71872754941760,pht,219,3788
71872754944059,pht,220,3788
71872754946350,pht,221,3774
71872754948801,pht,222,3982
71872754951363,pht,223,4264
71872754953779,pht,224,3976
71872754956139,pht,225,3882
71872754958522,pht,226,3920
71872754960957,pht,227,3954
71872754963276,pht,228,3806
71872754965612,pht,229,3826
71872754967924,pht,230,3826
71872754970233,pht,231,3842
71872754972551,pht,232,3878
71872754974781,pht,233,3698
71872754977043,pht,234,3768
71872754979312,pht,235,3776
71872754981607,pht,236,3836
71872754983907,pht,237,3828
71872754986239,pht,238,3874
71872754988514,pht,239,3752
71872754990863,pht,240,3836
71872754993150,pht,241,3764
71872754995504,pht,242,3906
71872754997924,pht,243,4036
71872755006491,pht,244,15978
71872755008890,pht,245,3838
71872755011292,pht,246,3930
71872755013701,pht,247,3946
71872755016068,pht,248,3848
71872755018376,pht,249,3770
71872755020701,pht,250,3882
71872755022964,pht,251,3768
71872755025348,pht,252,3952
71872755027762,pht,253,4074
71872755030049,pht,254,3814
71872755032436,pht,255,3958
71872755034817,pht,256,3968
71872755037159,pht,257,3924
71872755039498,pht,258,3918
71872755041745,pht,259,3718
71872755044023,pht,260,3778
71872755046326,pht,261,3806
71872755048708,pht,262,3966
71872755051038,pht,263,3884
71872755053315,pht,264,3756
71872755055583,pht,265,3742
71872755057898,pht,266,3794
71872755060149,pht,267,3746
71872755062460,pht,268,3822
71872755064782,pht,269,3894
71872755067096,pht,270,3872
71872755069443,pht,271,3942
71872755071667,pht,272,3702
71872755073999,pht,273,3898
71872755076276,pht,274,3808
71872755078638,pht,275,3938
71872755080916,pht,276,3806
