ts_ns,probe,iter,cycles
71879809145343,pht,0,5220
71879809170182,pht,1,4126
71879809173069,pht,2,4000
71879809176286,pht,3,5080
71879809178856,pht,4,4068
71879809181515,pht,5,4124
71879809184148,pht,6,4080
71879809186695,pht,7,3988
71879809189343,pht,8,4124
71879809191745,pht,9,3904
71879809194245,pht,10,4054
71879809196875,pht,11,3968
71879809199435,pht,12,4022
71879809201775,pht,13,3762
71879809204411,pht,14,4234
71879809206836,pht,15,3826
71879809209400,pht,16,3978
71879809211726,pht,17,3860
71879809214279,pht,18,4056
71879809216839,pht,19,4040
71879809219541,pht,20,4246
71879809222222,pht,21,4162
71879809224757,pht,22,3950
71879809227313,pht,23,3966
71879809230018,pht,24,4240
71879809232641,pht,25,4074
71879809235233,pht,26,3956
71879809237783,pht,27,3920
71879809240353,pht,28,3932
71879809242954,pht,29,4046
71879809245624,pht,30,4160
71879809248157,pht,31,3870
71879809250725,pht,32,3966
71879809253280,pht,33,3922
71879809255809,pht,34,3880
71879809258391,pht,35,3936
71879809260990,pht,36,4094
71879809263594,pht,37,4076
71879809266131,pht,38,3836
71879809268609,pht,39,3842
71879809271146,pht,40,3916
71879809273706,pht,41,3894
71879809276292,pht,42,4004
71879809278889,pht,43,4008
71879809281505,pht,44,4062
71879809283963,pht,45,3774
71879809286621,pht,46,4118
71879809289136,pht,47,3878
71879809291683,pht,48,3928
71879809294191,pht,49,3836
71879809296691,pht,50,3876
71879809299190,pht,51,3872
71879809301713,pht,52,3924
71879809304251,pht,53,3922
71879809306801,pht,54,3926
71879809309285,pht,55,3830
71879809311787,pht,56,3934
71879809314287,pht,57,3844
71879809316811,pht,58,3814
71879809319401,pht,59,4028
71879809321997,pht,60,4046
71879809324575,pht,61,3992
71879809327316,pht,62,4272
71879809329796,pht,63,3778
71879809332288,pht,64,3844
71879809334837,pht,65,3946
71879809337367,pht,66,3864
71879809339879,pht,67,3842
71879809342342,pht,68,3820
71879809344795,pht,69,3802
71879809347301,pht,70,3828
71879809349802,pht,71,3856
71879809352272,pht,72,3776
71879809354798,pht,73,3892
71879809357338,pht,74,3898
71879809359822,pht,75,3850
71879809362386,pht,76,3880
71879809364891,pht,77,3890
71879809367314,pht,78,3868
71879809369791,pht,79,3768
71879809372269,pht,80,3802
71879809374707,pht,81,3772
71879809377218,pht,82,3832
71879809379693,pht,83,3890
71879809382184,pht,84,3884
71879809384752,pht,85,3916
71879809387222,pht,86,3848
71879809389791,pht,87,4004
71879809392210,pht,88,3926
71879809394681,pht,89,3868
71879809397154,pht,90,3852
71879809399603,pht,91,3858
71879809402005,pht,92,3794
71879809404475,pht,93,3894
71879809406963,pht,94,3946
71879809409511,pht,95,4028
71879809411893,pht,96,3836
71879809414361,pht,97,3800
71879809416819,pht,98,3772
71879809419291,pht,99,3732
71879809421747,pht,100,3858
71879809427302,pht,101,3944
71879809429815,pht,102,3844
71879809432227,pht,103,3800
71879809434684,pht,104,3852
71879809437161,pht,105,3846
71879809439629,pht,106,3840
71879809442107,pht,107,3868
71879809444613,pht,108,3824
71879809447071,pht,109,3834
71879809449548,pht,110,3878
71879809451989,pht,111,3830
71879809454382,pht,112,3864
71879809456815,pht,113,3750
71879809459290,pht,114,3902
71879809461842,pht,115,3992
71879809464331,pht,116,3872
71879809466744,pht,117,3850
71879809469057,pht,118,3750
71879809471511,pht,119,3946
71879809473940,pht,120,3854
71879809476369,pht,121,3924
71879809478826,pht,122,3928
71879809481158,pht,123,3872
71879809483519,pht,124,3808
71879809485947,pht,125,3842
71879809488366,pht,126,3918
71879809490846,pht,127,3906
71879809493376,pht,128,4140
71879809495843,pht,129,3972
71879809498289,pht,130,3788
71879809500724,pht,131,3804
71879809503104,pht,132,3802
71879809505385,pht,133,3750
71879809507776,pht,134,3786
71879809510185,pht,135,3772
71879809512497,pht,136,3794
71879809514908,pht,137,3904
71879809517357,pht,138,3818
71879809519788,pht,139,3826
71879809522074,pht,140,3806
71879809524419,pht,141,3792
71879809526792,pht,142,3778
71879809529243,pht,143,3782
71879809531740,pht,144,3880
71879809534140,pht,145,3848
71879809536493,pht,146,3850
71879809538838,pht,147,3816
71879809541231,pht,148,3842
71879809543625,pht,149,3904
71879809546063,pht,150,3934
71879809548491,pht,151,3868
71879809550925,pht,152,3840
71879809553377,pht,153,3888
71879809555753,pht,154,3896
71879809558179,pht,155,3806
71879809560537,pht,156,3834
71879809562856,pht,157,3824
71879809565212,pht,158,3886
71879809567537,pht,159,3734
71879809570097,pht,160,4156
71879809572504,pht,161,3794
71879809574894,pht,162,3882
71879809577340,pht,163,3960
71879809579719,pht,164,3836
71879809582090,pht,165,3840
71879809584528,pht,166,3800
71879809586844,pht,167,3804
71879809589229,pht,168,3890
71879809591500,pht,169,3722
71879809593820,pht,170,3816
71879809596233,pht,171,3930
71879809598520,pht,172,3812
71879809600850,pht,173,3780
71879809603241,pht,174,3862
71879809605573,pht,175,3794
71879809608007,pht,176,4000
71879809610316,pht,177,3800
71879809612735,pht,178,3856
71879809615063,pht,179,3734
71879809617419,pht,180,3884
71879809619738,pht,181,3778
71879809622047,pht,182,3808
71879809624380,pht,183,3784
71879809626735,pht,184,3860
71879809629082,pht,185,3782
71879809631458,pht,186,3732
71879809633904,pht,187,3914
71879809636246,pht,188,3834
71879809638715,pht,189,3854
71879809641323,pht,190,4174
71879809643802,pht,191,3830
71879809646224,pht,192,3848
71879809648543,pht,193,3810
71879809650963,pht,194,3884
71879809653402,pht,195,3828
71879809655757,pht,196,3770
71879809658206,pht,197,3932
71879809660601,pht,198,3822
71879809663066,pht,199,3890
71879809665529,pht,200,3808
71879809677194,pht,201,4206
71879809679711,pht,202,3840
71879809682157,pht,203,3816
71879809684546,pht,204,3828
71879809686973,pht,205,3872
71879809689387,pht,206,3836
71879809691765,pht,207,3728
71879809694088,pht,208,3760
71879809696439,pht,209,3880
71879809698689,pht,210,3844
71879809701107,pht,211,3814
71879809703523,pht,212,3846
71879809705895,pht,213,3870
71879809708325,pht,214,3866
71879809710797,pht,215,3844
71879809713275,pht,216,3920
71879809715698,pht,217,3872
71879809718144,pht,218,3800
71879809720571,pht,219,3816
71879809722998,pht,220,3796
71879809725446,pht,221,3878
71879809727867,pht,222,3834
71879809730438,pht,223,4166
71879809732818,pht,224,3794
71879809735259,pht,225,3796
71879809737698,pht,226,3860
71879809740130,pht,227,3766
71879809742585,pht,228,3898
71879809745031,pht,229,3780
71879809747520,pht,230,3800
71879809749986,pht,231,3784
71879809752403,pht,232,3808
71879809754762,pht,233,3862
71879809757165,pht,234,3792
71879809759478,pht,235,3806
71879809761844,pht,236,3816
71879809764168,pht,237,3680
71879809766626,pht,238,3848
71879809769079,pht,239,3766
71879809771558,pht,240,3870
71879809774054,pht,241,3822
71879809776513,pht,242,3858
71879809778968,pht,243,3876
71879809781471,pht,244,3870
71879809783817,pht,245,3766
71879809786124,pht,246,3788
71879809788586,pht,247,3922
71879809790985,pht,248,3830
71879809793375,pht,249,3918
71879809795719,pht,250,3776
71879809798169,pht,251,3914
71879809800524,pht,252,3750
71879809802950,pht,253,3928
71879809805328,pht,254,3838
71879809807730,pht,255,3792
71879809810239,pht,256,4052
71879809812765,pht,257,3962
71879809815357,pht,258,4016
71879809817832,pht,259,3936
71879809820226,pht,260,3804
71879809822671,pht,261,3800
71879809825004,pht,262,3736
71879809827430,pht,263,3880
71879809829769,pht,264,3758
71879809832247,pht,265,4008
71879809834589,pht,266,3794
71879809836949,pht,267,3848
71879809839254,pht,268,3792
71879809841631,pht,269,3850
71879809844151,pht,270,3928
71879809846606,pht,271,3850
71879809849023,pht,272,3760
71879809851439,pht,273,3804
71879809853786,pht,274,3854
71879809856191,pht,275,3878
