ts_ns,freq_khz
1764049160197086819,2000000
1764049160217244435,2000000
1764049160237397284,2000000
1764049160257475416,2000000
1764049160277549457,2000000
1764049160297621816,2000000
1764049160317714884,1999979
1764049160337856278,1999979
1764049160357930899,2000000
1764049160378002755,2000052
1764049160398075331,1999979
1764049160418152065,2000040
1764049160438235113,1999981
1764049160458320518,2000040
1764049160478409718,2000000
1764049160498500725,2000000
1764049160518591200,2000000
1764049160538677415,2000020
1764049160558758345,2000000
1764049160578836428,2000000
1764049160598913506,2000000
1764049160618990814,1999979
1764049160639068942,1999979
1764049160659144104,2000000
1764049160679223970,2000020
1764049160699299931,1999979
1764049160719377265,2000000
1764049160739463849,1999979
1764049160759535994,2000000
1764049160779610999,1999979
1764049160799685099,2000000
1764049160819760675,1996350
1764049160839837679,2000000
